	sentence	word_labels
0	Müzik Müzik Şenliği'ne hazırlanın POZİTİF ve Açık Radyo işbirliğiyle düzenlenecek olan İstanbul Müzik Şenliği 2 , müzikseverlere Aralık ayında merhaba demeye hazırlanıyor	O O O O I-ORG I-ORG I-ORG I-ORG O O O I-LOC O O O O O O O O O O
1	Tek çatı altında dokuz ayrı salonda gerçekleştirilecek Şenlik kapsamında doksanın üzerinde etkinlik yer alacak	O O O O O O O O O O O O O O
2	Halk müziğinden caza , klasik batı müziğinden klasik Türk müziğine , rock'tan etnik müziğe uzanan konserlerin yanı sıra , atölye çalışmaları , panel ve söyleşiler , çocuk etkinlikleri , CD ve kitap satışı gibi etkinlikler Şenlik'i destekleyecek	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
3	Geçtiğimiz yıl ilki büyük heyecan yaratan , müzik ile ilgili her kesimden insanı tek bir çatı altında , keyifli bir ortamda buluşturmayı , müziği ve müzisyeni ön plana çıkarmayı , Türk müziğinin binbir tınısını dünyaya yayabilmek için gerekli ortamı yaratabilmeyi amaçlayan Şenlik yine Askeri Müze ve Kültür Sitesi'nde ağırlayacak konuklarını	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O I-LOC I-LOC I-LOC I-LOC I-LOC O O
4	Ayrıntılı programın Ekim ayında açıklanacağı Şenlik'le bağlantı kurmak isteyenler 0212 292 12 07 numaralı telefonu arayabilirler	O O O O O O O O O O O O O O O O
5	VENEDİK Film Festivali , büyük finale heyecansız yaklaşıyor	I-LOC O O O O O O O
6	Büyük ustaların yeni yapıtları ve sinemaya tutkuyla sarılan genç yönetmenlerin taze solukları yanı sıra İtalyan güzellerin geçidi yarışma heyecanını yatıştırdı	O O O O O O O O O O O O O O O O O O O O
7	Oysa bu yılki yarışma filmlerinde bir ağırlık var	O O O O O O O O
8	Yönetmenlerinden oyuncularına hemen hepsi usta işi	O O O O O O
9	Anglosakson sinemacılar altı filmle altın Aslan'a yakın duruyor	O O O O O O O O
10	AKBANK 8. Caz Festivali , 8 - 21 Ekim tarihleri arasında , İstanbul , Ankara ve Adana'da caz ustaları ile müzikseverleri buluşturacak	I-ORG O O O O O O O O O O O I-LOC O I-LOC O I-LOC O O O O O
11	Festival konserlerin yanı sıra İstanbul ve Ankara'da caz seminerleri , jam - session'lar ve Aksanat'ta gösterilecek film gösterimleri ile renklenecek	O O O O I-LOC O I-LOC O O O O O O O I-ORG O O O O O
12	Tamer HEPER Sitemizde altı blok var	I-PER I-PER O O O O
13	Merkezi sistemle ısınıyoruz , dolayısı ile iki blokun altında iki kalorifer kazanı var	O O O O O O O O O O O O O
14	Dört blokun altında ise bu yerler bodrum olarak geçiyor	O O O O O O O O O
